date, GDP ( Billions of US $), Per Capita (US $), Annual % Change
1962-12-31,19.892485160712,1851.8419,1.2961
1963-12-31,21.507447642513,1964.1505,6.2146
1964-12-31,23.764139321313,2128.0684,6.9785
1965-12-31,25.936835031918,2277.5584,5.9835
1966-12-31,27.268451114347,2340.4387,2.3825
1967-12-31,30.397580916116,2576.2845,6.3026
1968-12-31,32.665472057341,2720.0826,5.0958
1969-12-31,36.628961809833,2986.9495,7.0443
1970-12-31,41.271138985329,3299.8432,7.1722
1971-12-31,45.149512823384,3489.9523,4.0037
1972-12-31,51.967289719626,3943.7876,3.9125
1973-12-31,63.73734785394,4763.6284,2.6137
1974-12-31,88.831245394252,6473.1652,4.1034
1975-12-31,97.171924074833,6994.3082,1.3499
1976-12-31,104.92121517711,7476.7487,2.5877
1977-12-31,110.2018811654,7765.0705,3.5974
1978-12-31,118.33859688698,8241.9973,0.8969
1979-12-31,134.71202998978,9281.5234,4.0435
1980-12-31,149.77604456824,10194.3945,3.0342
1981-12-31,176.64228491815,11833.7432,3.3378
1982-12-31,193.77027474346,12766.5223,3.3284
1983-12-31,177.03041647169,11518.6685,-2.2205
1984-12-31,193.24216627423,12431.9458,4.5813
1985-12-31,180.23548362353,11437.7131,5.2493
1986-12-31,182.03693340795,11364.2395,4.0375
1987-12-31,189.06167284277,11624.621,2.5512
1988-12-31,235.65846915017,14254.5136,5.7434
1989-12-31,299.2720462503,17798.5564,3.8612
1990-12-31,310.78106964217,18211.5001,3.571
1991-12-31,325.31590926929,18821.7953,-0.3978
1992-12-31,324.88425747904,18570.1205,0.4122
1993-12-31,311.54932546374,17634.5348,4.0299
1994-12-31,322.21376686268,18046.1365,3.9839
1995-12-31,367.21636471636,20319.6306,3.8378
1996-12-31,400.30273141123,21861.3255,3.8786
1997-12-31,434.56800751291,23468.5968,3.9665
1998-12-31,398.89913857424,21318.9642,4.5767
1999-12-31,388.60822158165,20533.0351,5.0736
2000-12-31,415.22263392577,21679.2478,3.9331
2001-12-31,378.37608672319,19490.8611,1.9309
2002-12-31,394.64891167853,20082.4833,4.0014
2003-12-31,466.48806057076,23447.031,2.9859
2004-12-31,612.49039692702,30430.6764,4.0555
2005-12-31,693.40775823184,33999.2429,3.2043
2006-12-31,746.05420784666,36044.9228,2.7945
2007-12-31,853.09963099631,40960.0545,3.8442
2008-12-31,1053.9955237243,49601.6567,3.658
2009-12-31,927.80518333088,42772.3592,1.937
2010-12-31,1146.1384656038,52022.1256,2.0674
2011-12-31,1396.6499063394,62517.8337,2.4628
2012-12-31,1546.151783873,68012.1479,3.9182
2013-12-31,1576.1844670155,68150.107,2.5849
2014-12-31,1467.4837051317,62510.7912,2.5331
2015-12-31,1351.6939845245,56755.7217,2.1926
2016-12-31,1208.84699374,49971.1315,2.7707
2017-12-31,1329.1884757523,54027.9668,2.3006
2018-12-31,1432.8811720022,57354.964,2.9493
2019-12-31,1396.5670147332,55057.2047,2.161
2020-12-31,1330.900925057,51812.154,-0.2848

















