date, Life Expectancy from Birth (Years), Annual % Change
1950-12-31,68.766
1951-12-31,68.974,0.3
1952-12-31,69.182,0.3
1953-12-31,69.39,0.3
1954-12-31,69.598,0.3
1955-12-31,69.806,0.3
1956-12-31,70.014,0.3
1957-12-31,70.222,0.3
1958-12-31,70.43,0.3
1959-12-31,70.52,0.13
1960-12-31,70.61,0.13
1961-12-31,70.7,0.13
1962-12-31,70.79,0.13
1963-12-31,70.88,0.13
1964-12-31,70.872,-0.01
1965-12-31,70.864,-0.01
1966-12-31,70.856,-0.01
1967-12-31,70.848,-0.01
1968-12-31,70.84,-0.01
1969-12-31,71.024,0.26
1970-12-31,71.208,0.26
1971-12-31,71.392,0.26
1972-12-31,71.576,0.26
1973-12-31,71.76,0.26
1974-12-31,72.126,0.51
1975-12-31,72.492,0.51
1976-12-31,72.858,0.5
1977-12-31,73.224,0.5
1978-12-31,73.59,0.5
1979-12-31,73.89,0.41
1980-12-31,74.19,0.41
1981-12-31,74.49,0.4
1982-12-31,74.79,0.4
1983-12-31,75.09,0.4
1984-12-31,75.31,0.29
1985-12-31,75.53,0.29
1986-12-31,75.75,0.29
1987-12-31,75.97,0.29
1988-12-31,76.19,0.29
1989-12-31,76.49,0.39
1990-12-31,76.79,0.39
1991-12-31,77.09,0.39
1992-12-31,77.39,0.39
1993-12-31,77.69,0.39
1994-12-31,77.92,0.3
1995-12-31,78.15,0.3
1996-12-31,78.38,0.29
1997-12-31,78.61,0.29
1998-12-31,78.84,0.29
1999-12-31,79.14,0.38
2000-12-31,79.44,0.38
2001-12-31,79.74,0.38
2002-12-31,80.04,0.38
2003-12-31,80.34,0.37
2004-12-31,80.568,0.28
2005-12-31,80.796,0.28
2006-12-31,81.024,0.28
2007-12-31,81.252,0.28
2008-12-31,81.48,0.28
2009-12-31,81.656,0.22
2010-12-31,81.832,0.22
2011-12-31,82.008,0.22
2012-12-31,82.184,0.21
2013-12-31,82.36,0.21
2014-12-31,82.528,0.2
2015-12-31,82.696,0.2
2016-12-31,82.864,0.2
2017-12-31,83.032,0.2
2018-12-31,83.2,0.2
2019-12-31,83.348,0.18
2020-12-31,83.496,0.18
